Date,State,Dead,Injured,Total,Description
05/06/2022,South Carolina,0,4,4,Four people were injured in a drive-by shooting shortly before midnight.
05/06/2022,Michigan,3,2,5,Three people were killed and two others wounded in a shooting during the early morning.
05/06/2022,Arizona,2,2,4,Two people were killed and two others injured in a shooting outside a nightclub.
05/06/2022,Tennessee,2,12,14,"2022 Chattanooga shooting: Fourteen were shot, two of them fatally, at a nightclub during the early morning. A third person was killed by a vehicle attempting to flee."
05/06/2022,Michigan,1,3,4,One person was killed and three others injured in an early morning shooting at the Festival of the Arts.
04/06/2022,South Carolina,1,7,8,"Eight people, including six children, were shot during a graduation party after occupants in two cars opened fire at the partygoers in the yard of the house it was being held at. An adult woman was killed."
04/06/2022,Pennsylvania,3,11,14,"2022 Philadelphia shooting: Fourteen people were shot, three of them fatally, by multiple shooters on South Street. One of the shooters may have been shot by a responding police officer."
04/06/2022,New York,1,3,4,"A teenager was fatally shot, and three others were wounded."
04/06/2022,Nevada,0,4,4,A couple was arrested after the boyfriend shot three people during an argument. The boyfriend was also shot.
04/06/2022,Georgia,1,3,4,"Four people were shot, one fatally, at an abandoned home."
04/06/2022,Texas,0,5,5,Five teenagers were wounded in a targeted shooting at an early morning graduation house party after two groups at the party began fighting.
04/06/2022,Arizona,1,8,9,"A fight during a party being held at a strip mall escalated into gunfire, with nine people being shot."
03/06/2022,Nebraska,1,3,4,"Four people were shot, one fatally, shortly before midnight near an apartment complex."
03/06/2022,Virginia,1,5,6,"Six people were shot, one fatally, during a party. One of the shooting victims also suffered a broken arm."
03/06/2022,West Virginia,2,2,4,"Two police officers responding to a domestic disturbance were fired upon by two men. In the ensuing gun battle, a shooter and a police officer were killed. The surviving officer and shooter were both shot."
01/06/2022,Oklahoma,5,0,5,Warren Clinic shooting: At least four people were killed and multiple were injured after a shooting inside a building on the Saint Francis Hospital campus. The shooter fatally shot himself.
31/05/2022,Texas,0,4,4,Four people were shot in the Carver neighborhood.
31/05/2022,Michigan,4,0,4,A concerned relative checked their family at their home and found four of them dead. A man had killed his girlfriend and her two eldest children before committing suicide. Three younger children were found unharmed in the home.
30/05/2022,South Carolina,0,10,10,"Ten people were shot during a party in a vacant parking lot, including a teenager. A police officer who was arriving at the scene was shot at in his police cruiser and suffered a shrapnel injury."
